regulon,target_gene
ARID3A(+),FRMD4A
ARID3A(+),CCDC71L
ARID3A(+),NCBP2
ARID3A(+),OSBP2
ARID3A(+),TCTA
ARID3A(+),DMTN
ARID3A(+),RPAP2
ARID3A(+),KRTCAP2
ARID3A(+),OXSR1
ARID3A(+),DHCR24
ARID3A(+),NDUFS7
ARID3A(+),PPP1R13L
ARID3A(+),C2orf54
ARID3A(+),AGO2
ARID3A(+),DSC3
ARID3A(+),GJA1
ARID3A(+),NECTIN3
ARID3A(+),STC2
ARID3A(+),F2RL1
ARID3A(+),AKAP12
ARID3A(+),C2orf73
ARID3A(+),CELF1
ARID3A(+),SOX11
ARID3A(+),PSMB7
ARID3A(+),MT1X
ARID3A(+),KCNG1
ARID3A(+),CLU
ARID3A(+),IRX2
ARID3A(+),MET
ARID3A(+),NEAT1
ARID3A(+),CAPNS1
ARID3A(+),DNM2
ARID3A(+),BICD2
ARID3A(+),AZIN1
ARID3A(+),LLGL2
ARID3A(+),UBALD1
ARID3A(+),GATA2-AS1
ARID3A(+),PRRC2A
ARID3A(+),KLF11
ARID3A(+),ALDH1A2
ARID3A(+),CREBBP
ARID3A(+),PHACTR3
ARID3A(+),PANK1
ARID3A(-),TUBB
ARID3A(-),PHB
ARID3A(-),TPI1
ARID3A(-),GAPDH
ARID3A(-),ARID3A
ARID3A(-),WNT7A
ARID3A(-),CCNB1IP1
ARID3A(-),TSPAN6
ARID3A(-),NME1
ARID3A(-),MRPL52
ARID3A(-),TUSC3
ARID3A(-),RPS5
ARID3A(-),BNIP3
ARID3A(-),ADRM1
ARID3A(-),POLR2C
ARID3A(-),SSBP1
ARID3A(-),DCTPP1
ARID3A(-),HSP90AB1
ARID3A(-),COX5A
ARID3A(-),H2AFY
ARID3A(-),MRPS35
ARID3A(-),RAE1
ARID3A(-),TMPO
ARID3A(-),LBH
ARID3A(-),BCKDHA
ARID3A(-),PKIG
ARID3A(-),GPI
ARID3A(-),TIMM9
ARID3A(-),COL12A1
ARID3A(-),PCDH9
ARID3A(-),COPS2
ARID3A(-),MRPL38
ARID3A(-),PRSS23
ARID3A(-),APEH
ARID3A(-),PEX2
ARID3A(-),LPIN2
ARID3A(-),ECHDC2
ARID3A(-),CDKN2AIPNL
ARID3A(-),ETV4
ARID3A(-),SNRPD1
ARID3A(-),H2AFZ
ARID3A(-),NPM1
ARID3A(-),RPS15A
ARID3A(-),UBE2E3
ARID3A(-),MRPS2
ARID3A(-),HSPA5
ARID3A(-),CYP51A1
ARID3A(-),PROCR
ARID5B(-),FYN
ARID5B(-),SLIT2
ARID5B(-),PHF19
ARID5B(-),ARID5B
ARID5B(-),RXRA
ARID5B(-),MUC1
ARID5B(-),HDLBP
ARID5B(-),PTPRF
ARID5B(-),GFOD1
ARID5B(-),TSC22D2
ARID5B(-),ACSL1
ARID5B(-),EPS8L2
ARID5B(-),OCLN
ARID5B(-),ESRP2
ARID5B(-),HOXB2
ARID5B(-),CYB5R2
ARID5B(-),CERS3
ARID5B(-),VGLL3
ARID5B(-),PPL
ARID5B(-),NDRG1
ARNT(-),HSP90AB1
ARNT(-),RPL6
ARNT(-),RPS3A
