regulon,target_gene
ATF3(+),LUC7L2
ATF3(+),NEDD4L
ATF3(+),SMNDC1
ATF3(+),TLE1
ATF3(+),RWDD3
ATF3(+),PAX3
ATF3(+),BAMBI
ATF3(+),PAIP1
ATF3(+),ZNF326
ATF3(+),ARMCX3
ATF3(+),BCOR
ATF3(+),AHCYL2
ATF3(+),CYR61
ATF3(+),LMO4
ATF3(+),HMGCS1
ATF3(+),PTPRK
ATF3(+),NKX2-5
ATF3(+),PRDM6
ATF3(+),REL
ATF3(+),CNKSR3
ATF3(+),DCLK1
ATF3(+),ST7-AS1
ATF3(+),ERC1
ATF3(+),ST7
ATF3(+),PCIF1
ATF3(+),DDX5
ATF3(+),AGPAT4
ATF3(+),MYO1B
ATF3(+),QRICH1
ATF3(+),NAMPT
ATF3(+),RBBP6
ATF3(+),FAM49B
ATF3(+),KDELR1
ATF3(+),PRDM2
ATF3(+),PKIA
ATF3(+),FOSL2
ATF3(+),KRTCAP2
ATF3(+),PMAIP1
ATF3(+),BAG3
ATF3(+),OSBP
ATF3(+),POGZ
ATF3(+),TMEM263
ATF3(+),NUMA1
ATF3(+),UBE2S
ATF3(+),SARAF
ATF3(+),ANKRD12
ATF3(+),FRAT1
ATF3(+),NAA35
ATF3(+),RND3
ATF3(+),SERPINH1
ATF3(+),TTC19
ATF3(+),MEX3B
ATF3(+),SIAH2
ATF3(+),HERPUD1
ATF3(+),MAPK8IP3
ATF3(+),TGIF1
ATF3(+),TJP1
ATF3(+),ID3
ATF3(+),YTHDC1
ATF3(+),VEZF1
ATF3(+),ZNF426
ATF3(+),KLF4
ATF3(+),ANKRD11
ATF3(+),C1D
ATF3(+),HIC2
ATF3(+),EMC3
ATF3(+),CCSER2
ATF3(+),TMUB1
ATF3(+),EIF5
ATF3(+),PRPF39
ATF3(+),TMEM256-PLSCR3
ATF3(+),ID4
ATF3(+),EHBP1L1
ATF3(+),ZNF384
ATF3(+),GJD2
ATF3(+),KCTD6
ATF3(+),PCGF5
ATF3(+),UGDH
ATF3(+),SAMD4B
ATF3(+),ANKRD17
ATF3(+),PROX1
ATF3(+),ST20-MTHFS
ATF3(+),SLC3A2
ATF3(+),RNF138
ATF3(+),ALYREF
ATF3(+),LRIG3
ATF3(+),NRBP1
ATF3(+),RNF11
ATF3(+),AMD1
ATF3(+),PLAGL2
ATF3(+),ARID5A
ATF3(+),SYNPO2L
ATF3(+),POMZP3
ATF3(+),NUP188
ATF3(+),TCEAL9
ATF3(+),RBM17
ATF3(+),SPECC1L
ATF3(+),USP34
ATF3(+),SMARCA1
ATF3(+),GEMIN8
ATF3(+),EIF3A
ATF3(+),NTMT1
ATF3(+),TNPO1
ATF3(+),LINC00623
ATF3(+),COL12A1
ATF3(+),SMARCE1
ATF3(+),UBE2A
ATF3(+),WDR33
ATF3(+),UBE3A
ATF3(+),CIAPIN1
ATF3(+),RAB14
ATF3(+),MLLT10
ATF3(+),CDKN2AIP
ATF3(+),CDC42EP3
ATF3(+),BCORL1
ATF3(+),ATF5
ATF3(+),GNPNAT1
ATF3(+),AP1S2
ATF3(+),EIF4G3
ATF3(+),CDK17
ATF3(+),SASH1
ATF3(+),EMC8
ATF3(+),CA2
ATF3(+),RIPK2
ATF3(+),RPS12
ATF3(+),MIEN1
ATF3(+),TP53BP2
ATF3(+),BSCL2
ATF3(+),EIF4G2
ATF3(+),PCBP1
ATF3(+),RSRC2
ATF3(+),DEDD
ATF3(+),RBM39
ATF3(+),ZBED5
ATF3(+),EEF1A1
ATF3(+),CCDC174
ATF3(+),SDF4
ATF3(+),FGD5-AS1
ATF3(+),MKKS
ATF3(+),ZNF585A
ATF3(+),ARID1A
ATF3(+),ZC3H11A
ATF3(+),ZBED6
ATF3(+),CSNK1A1
