regulon,target_gene
ARNT(-),RPS7
ARNTL(+),CLN3
ARNTL(+),CC2D1B
ARNTL(+),LRRC8D
ARNTL(+),LIN54
ARNTL(+),DENND6A
ARNTL(+),RCBTB1
ARNTL(+),STRBP
ARNTL(+),SLCO1C1
ARNTL(+),ZC3H11A
ARNTL(+),GAREM2
ARNTL(+),GATB
ARNTL(+),PSD
ARNTL(+),LRRC37A3
ARNTL(+),TMEM246
ARNTL(+),THAP5
ARNTL(+),ANGPTL7
ARNTL(+),ZNF512
ARNTL(+),SLC12A7
ARNTL(+),SMCR8
ARNTL(+),KRBA2
ARNTL(+),TPD52
ARNTL(+),FAM19A1
ARNTL(+),MIR99AHG
ARNTL(+),ARHGAP25
ARNTL(-),SERF2
ARNTL(-),CD63
ARNTL(-),S100A10
ARNTL(-),ACTG1
ARNTL(-),RBM3
ARNTL(-),ARNTL
ARNTL(-),RPS27A
ARNTL(-),RPS27
ATF1(+),HIC1
ATF1(+),STARD3NL
ATF1(+),TIPRL
ATF1(+),AMOTL2
ATF1(+),AP2B1
ATF1(+),DLX2
ATF1(+),TCEAL7
ATF1(+),HHIP
ATF1(+),LMO4
ATF1(+),CYCS
ATF1(+),LDHA
ATF1(+),TBX5
ATF1(+),RHEB
ATF1(+),EGR1
ATF1(+),PLA2G4A
ATF1(+),ARID5B
ATF1(+),LINC01137
ATF1(+),CSE1L
ATF1(+),EBF1
ATF1(+),OSER1
ATF1(+),MAP3K12
ATF1(+),FBXO8
ATF1(+),TCF7L2
ATF1(+),PTMA
ATF1(+),LRRC3
ATF1(+),CDC25C
ATF1(+),POFUT1
ATF1(+),ZNF836
ATF1(+),HIST1H2BL
ATF1(+),FHL2
ATF1(+),DCUN1D1
ATF1(+),C1orf198
ATF1(+),RGS10
ATF1(+),GRM5
ATF1(+),PAPOLA
ATF1(+),DTYMK
ATF1(+),CDCA7
ATF1(+),UBXN10
ATF1(+),RABL6
ATF1(+),CENPN
ATF1(+),CMC2
ATF1(+),SUPT16H
ATF1(+),CHD1
ATF1(+),CBL
ATF1(+),PEPD
ATF1(+),PRSS23
ATF1(+),PCDH1
ATF1(+),SH2D3A
ATF1(+),HNRNPD
ATF1(+),PAIP1
ATF1(+),C1orf21
ATF1(+),AMD1
ATF1(+),CSRNP1
ATF1(+),ATP6AP2
ATF1(+),CDK2
ATF1(+),SLC22A17
ATF1(+),RBM7
ATF1(+),TFIP11
ATF1(+),PPT2-EGFL8
ATF1(+),ATF1
ATF1(+),HNRNPF
ATF1(+),HRH2
ATF1(+),ASPN
ATF1(+),TCEAL1
ATF1(+),ATAT1
ATF1(+),CEP78
ATF1(+),DEK
ATF1(+),BAG6
ATF1(+),ST6GALNAC3
ATF1(+),CRBN
ATF1(+),NBPF1
ATF1(+),MAP3K13
ATF1(+),RAB1A
ATF1(+),LARP7
ATF1(+),SMARCA2
ATF1(+),C19orf73
ATF1(+),LMCD1-AS1
ATF1(+),SPATA7
ATF1(+),HIST1H4H
ATF1(+),PDE1B
ATF1(+),HOXA3
ATF1(+),STARD8
ATF1(+),PEF1
ATF1(+),DIO2
ATF1(+),UBE2A
ATF1(+),ADAMTS14
ATF1(+),TNS2
ATF1(+),PLEKHF1
ATF1(+),MYOM2
ATF1(+),FHAD1
ATF1(+),TFAP2A
ATF1(+),SNU13
ATF1(+),POPDC2
ATF1(+),ACTC1
ATF1(+),TRPC4
ATF1(+),SLC34A2
ATF1(+),KCNMA1
ATF1(+),LIMS1
ATF1(+),CNOT2
ATF1(+),ASB2
ATF1(+),DSC2
ATF1(+),MAGI1
ATF1(+),IGF2R
ATF1(+),DLX6-AS1
ATF1(+),CLCN6
