regulon,target_gene
ATF2(+),COMMD10
ATF2(+),ANP32E
ATF2(+),DPH6
ATF2(+),VPS53
ATF2(+),PYGL
ATF2(+),CEACAM1
ATF2(+),SMAP2
ATF2(+),MEF2A
ATF2(+),DERL3
ATF2(+),NOL7
ATF2(-),RPS29
ATF2(-),CDC42
ATF2(-),S100A12
ATF2(-),S100A8
ATF2(-),VCAN
ATF2(-),MLLT11
ATF2(-),RPL23
ATF2(-),S100A11
ATF2(-),CTNNB1
ATF2(-),ATF2
ATF2(-),BLOC1S1
ATF2(-),DCN
ATF2(-),TSPO
ATF2(-),RPL13
ATF2(-),RPL41
ATF2(-),S100A9
ATF2(-),OGN
ATF2(-),CFP
ATF2(-),TIMP1
ATF3(+),AMDHD2
ATF3(+),ATG3
ATF3(+),ZNF292
ATF3(+),CTSA
ATF3(+),ATP6V1H
ATF3(+),TNFAIP2
ATF3(+),THAP8
ATF3(+),C1orf43
ATF3(+),AFF4
ATF3(+),GNPTG
ATF3(+),MCOLN1
ATF3(+),GABARAP
ATF3(+),GTF2H1
ATF3(+),ATP6V0B
ATF3(+),CREBRF
ATF3(+),HEXA
ATF3(+),ERP29
ATF3(+),STX4
ATF3(+),BHLHE40
ATF3(+),VPS26A
ATF3(+),MAFG
ATF3(+),CLCN7
ATF3(+),ATP6V0D1
ATF3(+),FNIP1
ATF3(+),ANKRD12
ATF3(+),UBE2B
ATF3(+),RNASEK
ATF3(+),METRNL
ATF3(+),JOSD1
ATF3(+),RAB3IL1
ATF3(+),SLC38A7
ATF3(+),ATF3
ATF3(+),ARMCX6
ATF3(+),CTSB
ATF3(+),GAA
ATF3(+),HPS1
ATF3(+),GNS
ATF3(+),NTMT1
ATF3(+),PLD3
ATF3(+),SH3GL1
ATF3(+),FIGNL2
ATF3(+),OTUD1
ATF3(+),GZF1
ATF3(+),LAMP1
ATF3(+),TCEAL3
ATF3(+),SH3TC1
ATF3(+),TNFAIP3
ATF3(+),CANX
ATF3(+),CST3
ATF3(+),BNIP3L
ATF3(+),DUSP1
ATF3(+),M6PR
ATF3(+),SLC16A3
ATF3(+),RAB7A
ATF3(+),DUSP2
ATF3(+),GGA2
ATF3(+),CDV3
ATF3(+),ABRACL
ATF3(+),ANKH
ATF3(+),TBC1D14
ATF3(+),PEPD
ATF3(+),HSPD1
ATF3(+),IER5L
ATF3(+),SGK1
ATF3(+),BRI3
ATF3(+),GNPDA1
ATF3(+),PTAFR
ATF3(+),SLC38A2
ATF3(+),AZIN1
ATF3(+),PIP5K1C
ATF3(+),INSIG1
ATF3(+),SLC12A7
ATF3(+),DDX3X
ATF3(+),MGAT4A
ATF3(+),KLF6
ATF3(+),KDM6B
ATF3(+),MAFF
ATF3(+),DHRS3
ATF3(+),ATF4
ATF3(+),CLTC
ATF3(+),TOM1
ATF3(+),THRAP3
ATF3(+),PER1
ATF3(+),FOXN3
ATF3(+),NRROS
ATF3(+),ALDOA
ATF3(+),SENCR
ATF3(+),SFMBT2
ATF3(+),MAP2K3
ATF3(+),LPIN2
ATF3(+),NR4A3
ATF3(+),FAAP20
ATF3(+),RREB1
ATF3(+),IGF1
ATF3(+),ANKRD9
ATF3(+),TAGAP
ATF3(+),SLC25A19
ATF3(+),SH3BP2
ATF3(+),GAS6
ATF3(+),YBX1
ATF3(+),NINJ1
ATF3(+),C2
ATF3(+),GNA13
ATF3(+),RBBP6
ATF3(+),HSPE1
ATF3(+),NCK2
ATF3(+),CTSZ
ATF3(+),SNX2
ATF3(+),AATBC
ATF3(+),TMEM51
ATF3(+),HNRNPA3
ATF3(+),NDUFA7
ATF3(+),EGFL7
ATF3(+),RAB35
ATF3(+),TIGAR
ATF3(+),TNFSF8
ATF3(+),NR4A1
ATF3(+),SLC25A13
ATF3(+),SERPINF1
ATF3(+),FNIP2
ATF3(+),HEBP1
ATF3(+),BIN1
ATF3(+),RASGRP3
ATF3(+),HRH1
ATF3(+),CPEB4
ATF3(+),UNC79
ATF3(+),PTPRE
ATF3(+),RAB21
ATF3(+),CD83
ATF3(+),CHD4
